perturbation_id,uot,mass_pred,mass_true,mass_rel_error,is_control,n_init_atoms,n_term_atoms,n_term_atoms_eval
Erbb4,419.40777587890625,369.195556640625,649.0,0.4311316538665254,False,236,649,649
Erich3,447.469970703125,295.5158996582031,762.0,0.6121838587162689,False,228,762,762
Fam135b,437.6326599121094,557.4992065429688,1194.0,0.5330827415888034,False,393,768,768
Fat1,446.894775390625,5076.025390625,22643.0,0.7758236368579694,False,4131,768,768
Fat2,437.87994384765625,470.4556884765625,841.0,0.4405996569838734,False,309,768,768
Fat3,449.8330993652344,324.34442138671875,345.0,0.05987124235733696,False,221,345,345
Fat4,437.2550354003906,517.7890625,610.0,0.1511654713114754,False,352,610,610
Fgf15,470.94854736328125,186.07061767578125,490.0,0.6202640455596301,False,133,490,490
Fgf3,462.5785217285156,207.66180419921875,1563.0,0.8671389608450296,False,175,768,768
Flg,460.47210693359375,465.9937438964844,579.0,0.195174881007799,False,339,579,579
Fmn2,439.34881591796875,317.454345703125,727.0,0.563336525855399,False,241,727,727
Herc2,435.9610290527344,376.8359375,653.0,0.42291586906584994,False,297,653,653
Hmcn1,470.4660949707031,396.4251403808594,607.0,0.346910806621319,False,302,607,607
Hras,450.3050231933594,451.7207946777344,576.0,0.21576250924004448,False,361,576,576
Kmt2c,467.88568115234375,126.65699768066406,360.0,0.6481750064425998,False,114,360,360
Lama2,434.78173828125,523.3877563476562,484.0,0.08137966187532283,False,319,484,484
Lama5,450.2278137207031,384.8283386230469,792.0,0.5141056330517085,False,269,768,768
Lrp1b,431.378173828125,301.1532287597656,494.0,0.3903780794336728,False,240,494,494
Lrp2,432.6068420410156,263.7789306640625,834.0,0.68371830855628,False,225,768,768
Macf1,461.03656005859375,284.06439208984375,423.0,0.3284529737828753,False,207,423,423
Magi2,444.1093444824219,391.2236022949219,975.0,0.5987450232872596,False,304,768,768
Mgam,439.75567626953125,306.5773620605469,565.0,0.4573851998928374,False,264,565,565
Muc16,449.500244140625,355.7210693359375,471.0,0.24475356828888004,False,275,471,471
Muc2,420.5065002441406,340.254638671875,1107.0,0.6926335694021003,False,282,768,768
Muc3,426.4107971191406,557.494140625,631.0,0.11649106081616482,False,428,631,631
Muc5b,444.405029296875,317.8892517089844,393.0,0.1911214969237039,False,241,393,393
Myh1,454.62762451171875,510.26416015625,2381.0,0.7856933388675976,False,462,768,768
Myh2,437.7983093261719,257.79766845703125,1098.0,0.7652115952121755,False,211,768,768
Nav3,426.426513671875,559.0890502929688,1271.0,0.5601187645216611,False,424,768,768
Neb,459.2873229980469,273.8822021484375,477.0,0.4258234755797956,False,205,477,477
Notch1,429.2393798828125,2888.7958984375,11588.0,0.7507079825304194,False,1787,768,768
Notch2,438.18310546875,639.0589599609375,2319.0,0.7244247693139554,False,421,768,768
Obscn,432.85137939453125,294.2353820800781,752.0,0.6087295451062791,False,249,752,752
P3h2,465.1059265136719,398.472900390625,714.0,0.4419147053352591,False,315,714,714
Pak7,452.59844970703125,389.3545837402344,261.0,0.4917800143303999,False,320,261,261
Pcdh11x,447.5950622558594,349.9754333496094,724.0,0.5166085174729153,False,285,724,724
Pcdh15,430.2002258300781,353.5501403808594,1117.0,0.6834824168479325,False,254,768,768
Pclo,460.8206481933594,435.73529052734375,405.0,0.07588960624035494,False,294,405,405
Peg3,457.07696533203125,305.8164978027344,986.0,0.6898412801189306,False,253,768,768
Pik3cg,448.0121154785156,429.92205810546875,639.0,0.32719552722148865,False,311,639,639
Pkhd1,421.6221618652344,331.5621643066406,836.0,0.6033945403030615,False,268,768,768
Pkhd1l1,429.4532775878906,286.241943359375,792.0,0.638583404849274,False,221,768,768
Ppfia1,492.274169921875,223.14242553710938,285.0,0.21704412092242326,False,198,285,285
Prex2,431.0577697753906,360.6202697753906,1057.0,0.6588266132683154,False,279,768,768
Prkdc,425.48516845703125,357.9900207519531,525.0,0.31811424618675593,False,261,525,525
Ptprd,455.36834716796875,464.6934509277344,611.0,0.23945425380076207,False,349,611,611
Reln,438.1754150390625,338.4529724121094,479.0,0.293417594129208,False,281,479,479
