epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,step,total_epochs,velo_f_2.0_training,velo_f_2.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation
2,,251.90106201171875,9.999999747378752e-05,,0.0,,99.37296295166016,,152.52810668945312,14,2.0,,0.1585755944252014,,0.1474747508764267,,0.1380438506603241,,1.232764720916748,,1.1245397329330444,,1.0968519449234009,,562.3375854492188,,561.1486206054688,,563.65673828125
2,188.6825714111328,,,,,,,,,14,,,,,,,,,,,,,,,,,,,
3,,,9.999999747378752e-05,0.0,,72.7554931640625,,130.93173217773438,,15,3.0,0.1596316397190094,,0.147839218378067,,0.138905718922615,,1.2704391479492188,,1.1534271240234375,,1.118801236152649,,563.7533569335938,,562.555908203125,,564.4635620117188,
3,,,9.999999747378752e-05,0.0,,64.90975952148438,,126.6451416015625,,16,3.0,0.1681277602910995,,0.1566886752843856,,0.148697480559349,,1.242286205291748,,1.122630596160889,,1.0919028520584106,,559.1629638671875,,557.16162109375,,558.7634887695312,
3,,,9.999999747378752e-05,0.0,,66.3480224609375,,126.90655517578124,,17,3.0,0.1759100407361984,,0.1661046147346496,,0.1597465574741363,,1.2398021221160889,,1.1033751964569092,,1.0711674690246582,,556.0703735351562,,551.9951782226562,,552.657470703125,
3,,,9.999999747378752e-05,0.0,,63.59489059448242,,128.55198669433594,,18,3.0,0.183637723326683,,0.1753677576780319,,0.1711262762546539,,1.2053751945495603,,1.067891001701355,,1.0384730100631714,,551.146484375,,545.5873413085938,,545.322265625,
3,,,9.999999747378752e-05,0.0,,72.39883422851562,,133.4759521484375,,19,3.0,0.1909371614456176,,0.1851067543029785,,0.1827294081449508,,1.214427471160889,,1.0624059438705444,,1.0273631811141968,,548.8599853515625,,540.9190063476562,,539.232177734375,
3,,198.14537048339844,9.999999747378752e-05,,0.0,,65.50251770019531,,132.64285278320312,19,3.0,,0.1976587325334549,,0.1933350563049316,,0.1918946802616119,,1.089148759841919,,0.95126074552536,,0.9163536429405212,,537.5535278320312,,527.51025390625,,524.6796875
3,197.30368041992188,,,,,,,,,19,,,,,,,,,,,,,,,,,,,
4,,,9.999999747378752e-05,0.0,,70.47630310058594,,136.45361328125,,20,4.0,0.1986084431409835,,0.1952172517776489,,0.1933224350214004,,1.2070908546447754,,1.0517127513885498,,1.008892297744751,,545.4397583007812,,535.63623046875,,532.862548828125,
4,,,9.999999747378752e-05,0.0,,66.7376937866211,,128.85308837890625,,21,4.0,0.2059467583894729,,0.2050249427556991,,0.2047162503004074,,1.172508955001831,,1.0081372261047363,,0.9671849608421326,,540.2620239257812,,527.4508666992188,,523.6490478515625,
4,,,9.999999747378752e-05,0.0,,72.18401336669922,,139.19287109375,,22,4.0,0.2133664190769195,,0.2149548977613449,,0.2160449475049972,,1.1601009368896484,,0.9961090087890624,,0.949553608894348,,536.42236328125,,521.7594604492188,,516.4153442382812,
4,,,9.999999747378752e-05,0.0,,70.65941619873047,,139.19430541992188,,23,4.0,0.2202268093824386,,0.2248852699995041,,0.2274011671543121,,1.1493403911590576,,0.9764243364334106,,0.928214967250824,,532.86572265625,,515.1469116210938,,508.5081481933594,
4,,,9.999999747378752e-05,0.0,,98.7230224609375,,159.70333862304688,,24,4.0,0.2268192023038864,,0.2363280802965164,,0.2385967969894409,,1.1763263940811155,,1.0063995122909546,,0.9501312971115112,,532.3079223632812,,513.1016235351562,,505.7461853027344,
4,,229.2566680908203,9.999999747378752e-05,,0.0,,81.74037170410156,,147.51629638671875,24,4.0,,0.2320212423801422,,0.2459431290626526,,0.2496867328882217,,1.0675331354141235,,0.9006134271621704,,0.8499014377593994,,521.0521850585938,,495.9154968261719,,486.7392578125
4,216.43551635742188,,,,,,,,,24,,,,,,,,,,,,,,,,,,,
5,,,9.999999747378752e-05,0.0,,69.87442779541016,,146.51748657226562,,25,5.0,0.233432725071907,,0.2462746351957321,,0.2509743869304657,,1.137495040893555,,0.9502010345458984,,0.8996066451072693,,526.6031494140625,,502.1267395019531,,493.2919006347656,
5,,,9.999999747378752e-05,0.0,,66.87728881835938,,137.57626342773438,,26,5.0,0.2393432706594467,,0.2566142380237579,,0.2623929679393768,,1.1001793146133425,,0.9089900851249696,,0.8584933876991272,,520.9580688476562,,491.8162841796875,,481.52001953125,
5,,,9.999999747378752e-05,0.0,,73.76443481445312,,153.95364379882812,,27,5.0,0.2463298141956329,,0.2673089206218719,,0.2734022736549377,,1.0932812690734863,,0.90010666847229,,0.8457576036453247,,517.4203491210938,,485.3320617675781,,473.81829833984375,
5,,,9.999999747378752e-05,0.0,,72.86343383789062,,149.11843872070312,,28,5.0,0.2533038556575775,,0.278502881526947,,0.2853693664073944,,1.0839989185333252,,0.882851243019104,,0.8311530947685242,,513.6226806640625,,477.22216796875,,465.1175537109375,
5,,,9.999999747378752e-05,0.0,,84.67012023925781,,171.78634643554688,,29,5.0,0.2590276598930359,,0.289969801902771,,0.2971879839897156,,1.095733404159546,,0.8918699622154236,,0.8382980227470398,,512.3900146484375,,473.0078125,,460.3111877441406,
5,,235.92874145507807,9.999999747378752e-05,,0.0,,69.00762939453125,,166.92111206054688,29,5.0,,0.2626063823699951,,0.2980051338672638,,0.3077225387096405,,0.9680280685424804,,0.798874020576477,,0.7507936954498291,,496.7193298339844,,452.3995361328125,,436.8672790527344
5,225.400390625,,,,,,,,,29,,,,,,,,,,,,,,,,,,,
6,,,9.999999747378752e-05,0.0,,85.6884765625,,170.5467987060547,,30,6.0,0.2650784850120544,,0.3000564575195312,,0.3084990680217743,,1.0848664045333862,,0.8799816370010376,,0.8265993595123291,,508.79925537109375,,466.1365966796875,,452.3215637207031,
6,,,9.999999747378752e-05,0.0,,66.34024810791016,,156.98031616210938,,31,6.0,0.2714546322822571,,0.3116646707057953,,0.3197843730449676,,1.038109540939331,,0.8324026465415955,,0.7865470051765442,,501.0929565429688,,451.810791015625,,438.2460021972656,
6,,,9.999999747378752e-05,0.0,,81.40509033203125,,173.3946533203125,,32,6.0,0.2771124839782715,,0.3224002420902252,,0.3325544893741607,,1.05981183052063,,0.8520437479019165,,0.8014353513717651,,501.1002502441406,,450.1252136230469,,434.743896484375,
6,,,9.999999747378752e-05,0.0,,75.56893920898438,,166.91065979003906,,33,6.0,0.2830444276332855,,0.3337503373622894,,0.3429029583930969,,1.0412486791610718,,0.8260104656219482,,0.7807948589324951,,496.4733581542969,,439.3002014160156,,424.701416015625,
6,,,9.999999747378752e-05,0.0,,77.15269470214844,,183.953857421875,,34,6.0,0.2897160351276397,,0.3454596698284149,,0.3547732830047607,,1.0314815044403076,,0.8160800933837891,,0.770117998123169,,492.45208740234375,,431.2616271972656,,415.8851013183594,
6,,272.12225341796875,9.999999747378752e-05,,0.0,,86.60945129394531,,185.5128173828125,34,6.0,,0.2956140041351318,,0.3531974554061889,,0.3630957305431366,,0.9323062300682068,,0.749038577079773,,0.710279643535614,,476.5148315429688,,411.46722412109375,,395.5320739746094
6,247.58834838867188,,,,,,,,,34,,,,,,,,,,,,,,,,,,,
7,,,9.999999747378752e-05,0.0,,83.07666778564453,,181.82305908203125,,35,7.0,0.295513242483139,,0.3548639714717865,,0.3647185266017914,,1.0391621589660645,,0.813345193862915,,0.7679433822631836,,490.8988037109375,,425.8850708007813,,410.09130859375,
7,,,9.999999747378752e-05,0.0,,75.21388244628906,,181.78875732421875,,36,7.0,0.3027962744235992,,0.3665555417537689,,0.3760585486888885,,1.0143901109695437,,0.7933250665664673,,0.7544490098953247,,484.6598510742188,,415.32421875,,400.618408203125,
7,,,9.999999747378752e-05,0.0,,78.39985656738281,,190.15164184570312,,37,7.0,0.3064282834529876,,0.3778803050518036,,0.3867064118385315,,1.0005123615264893,,0.7787767648696899,,0.743988037109375,,481.24456787109375,,405.9327087402344,,392.1290893554688,
7,,,9.999999747378752e-05,0.0,,74.6169204711914,,191.1336669921875,,38,7.0,0.3137712180614471,,0.38802370429039,,0.3973614871501922,,0.9976773858070374,,0.7730452418327332,,0.7331773042678833,,477.6402587890625,,399.2236633300781,,383.3873901367188,
7,,,9.999999747378752e-05,0.0,,85.15397644042969,,196.32568359375,,39,7.0,0.3162182867527008,,0.3973561525344848,,0.4077281653881073,,0.9870823621749878,,0.7573724389076233,,0.7209931015968323,,475.0845336914063,,390.2004089355469,,374.22552490234375,
7,,284.69140625,9.999999747378752e-05,,0.0,,81.79150390625,,202.89991760253903,39,7.0,,0.3213188350200653,,0.4074042737483978,,0.4168684184551239,,0.9235018491744996,,0.7237488031387329,,0.6770949959754944,,463.1383056640625,,375.2323913574219,,355.0692138671875
7,267.5368347167969,,,,,,,,,39,,,,,,,,,,,,,,,,,,,
8,,,9.999999747378752e-05,0.0,,75.68046569824219,,196.61666870117188,,40,8.0,0.3229154348373413,,0.4092429280281067,,0.4192852079868316,,0.9707219004631042,,0.7507561445236206,,0.7101062536239624,,469.7384338378906,,382.1604309082031,,364.6365661621094,
8,,,9.999999747378752e-05,0.0,,83.01441192626953,,207.38677978515625,,41,8.0,0.3309983313083648,,0.4186486899852752,,0.4292762875556946,,0.9970372915267944,,0.7653529644012451,,0.7229540944099426,,470.0302734375,,381.4205627441406,,363.3671875,
8,,,9.999999747378752e-05,0.0,,83.44434356689453,,222.01290893554688,,42,8.0,0.3363514840602875,,0.4298937320709228,,0.4385680854320526,,0.9663768410682678,,0.7381018400192261,,0.7038409113883972,,463.0870971679688,,367.7069091796875,,352.2727966308594,
8,,,9.999999747378752e-05,0.0,,87.20620727539062,,214.68438720703125,,43,8.0,0.339343398809433,,0.4406638145446777,,0.4486606121063232,,0.9647165536880492,,0.7358303666114807,,0.7000483870506287,,461.4959106445313,,361.4310607910156,,345.62548828125,
8,,,9.999999747378752e-05,0.0,,83.05504608154297,,219.1656494140625,,44,8.0,0.3473235070705414,,0.4509147107601166,,0.4586069583892822,,0.9165077209472656,,0.7038750052452087,,0.6678372025489807,,449.8793029785156,,345.73028564453125,,328.80401611328125,
8,,329.6326904296875,0.0001000000047497,,0.0,,92.7881088256836,,236.84458923339844,44,8.0,,0.3567705154418945,,0.4580739438533783,,0.4667432308197021,,0.8672435879707336,,0.6731572151184082,,0.6262111663818359,,436.23150634765625,,331.06317138671875,,307.8814392089844
8,294.453369140625,,,,,,,,,44,,,,,,,,,,,,,,,,,,,
9,,,9.999999747378752e-05,0.0,,85.6514892578125,,220.3354339599609,,45,9.0,0.3519469201564789,,0.4602242410182953,,0.467517614364624,,0.9441930055618286,,0.7126950025558472,,0.6748402118682861,,452.5197448730469,,343.8235778808594,,326.6034545898437,
9,,,9.999999747378752e-05,0.0,,84.90259552001953,,231.25473022460935,,46,9.0,0.359478086233139,,0.4693238437175751,,0.4773170053958893,,0.93391215801239,,0.7086005806922913,,0.6741001009941101,,447.3578796386719,,337.7049560546875,,321.0976257324219,
