epoch,loss_total,loss_end,loss_weak,loss_count,loss_reg
0,36358.6875,36358.5546875,0.0,0.0,0.1313900351524353
1,34767.86328125,34767.73046875,0.0,0.0,0.1313808113336563
2,33607.1640625,33607.03125,0.0,0.0,0.13138701021671295
3,32594.1875,32594.056640625,0.0,0.0,0.13140742480754852
4,31701.203125,31701.072265625,0.0,0.0,0.13143916428089142
5,31083.796875,31083.666015625,0.0,0.0,0.13148286938667297
6,30410.205078125,30410.07421875,0.0,0.0,0.13153724372386932
7,29827.498046875,29827.3671875,0.0,0.0,0.131596639752388
8,29394.8671875,29394.736328125,0.0,0.0,0.13165955245494843
9,29032.228515625,29032.09765625,0.0,0.0,0.13172486424446106
10,28686.5078125,28686.376953125,0.0,0.0,0.13178826868534088
11,28400.439453125,28400.306640625,0.0,0.0,0.13185802102088928
12,28070.208984375,28070.076171875,0.0,0.0,0.13192333281040192
13,27814.4140625,27814.28125,0.0,0.0,0.1319981962442398
14,27433.3359375,27433.203125,0.0,0.0,0.13206574320793152
15,27197.69140625,27197.55859375,0.0,0.0,0.13214629888534546
16,26794.576171875,26794.443359375,0.0,0.0,0.13222470879554749
17,26663.4375,26663.3046875,0.0,0.0,0.13231058418750763
18,26314.20703125,26314.07421875,0.0,0.0,0.13239403069019318
19,26173.6015625,26173.46875,0.0,0.0,0.13248631358146667
20,26031.2578125,26031.125,0.0,0.0,0.1325770616531372
21,25558.99609375,25558.86328125,0.0,0.0,0.13267149031162262
22,25358.322265625,25358.189453125,0.0,0.0,0.13276958465576172
23,25047.396484375,25047.263671875,0.0,0.0,0.1328638792037964
24,24851.16796875,24851.03515625,0.0,0.0,0.1329674869775772
25,24559.26171875,24559.12890625,0.0,0.0,0.13307087123394012
26,24348.025390625,24347.892578125,0.0,0.0,0.13317708671092987
27,23830.166015625,23830.033203125,0.0,0.0,0.13328081369400024
28,23771.2109375,23771.078125,0.0,0.0,0.13339006900787354
29,23497.41796875,23497.28515625,0.0,0.0,0.13349904119968414
30,23210.017578125,23209.884765625,0.0,0.0,0.13361118733882904
31,22819.71875,22819.5859375,0.0,0.0,0.13372083008289337
32,22496.828125,22496.693359375,0.0,0.0,0.13383720815181732
33,22245.59375,22245.458984375,0.0,0.0,0.1339539885520935
34,21966.748046875,21966.61328125,0.0,0.0,0.13407568633556366
35,21831.12109375,21830.986328125,0.0,0.0,0.13419736921787262
36,21423.126953125,21422.9921875,0.0,0.0,0.13431519269943237
37,21202.060546875,21201.92578125,0.0,0.0,0.13443557918071747
