perturbation_id,uot,mass_pred,mass_true,mass_rel_error,is_control,n_init_atoms,n_term_atoms,n_term_atoms_eval
Dnah9,141.34417724609375,918.6634521484375,749.0,0.22651996281500333,False,329,749,749
Dscam,148.02960205078125,655.6056518554688,1437.0,0.5437678136009264,False,229,768,768
Dst,132.2691192626953,521.6279907226562,279.0,0.8696343753500224,False,219,279,279
Ep300,141.99867248535156,333.0035400390625,390.0,0.14614476913060898,False,166,390,390
Epha5,134.47007751464844,801.8190307617188,1098.0,0.26974587362320696,False,267,768,768
Erbb4,140.79425048828125,666.091552734375,649.0,0.026335212225539292,False,236,649,649
Erich3,131.9008026123047,596.26611328125,762.0,0.21749853900098426,False,228,762,762
Fam135b,133.7019500732422,1199.28271484375,1194.0,0.004424384291247906,False,393,768,768
Fat1,139.91819763183594,13605.0341796875,22643.0,0.3991505463195027,False,4131,768,768
Fat2,137.79327392578125,937.5117797851562,841.0,0.11475835884085167,False,309,768,768
Fat3,150.61944580078125,544.448974609375,345.0,0.5781129698822464,False,221,345,345
Fat4,136.37232971191406,1005.27490234375,610.0,0.6479916431864754,False,352,610,610
Fgf15,138.95474243164062,372.05535888671875,490.0,0.24070334921077807,False,133,490,490
Fgf3,143.58053588867188,498.2835388183594,1563.0,0.6812005509799364,False,175,768,768
Flg,129.63844299316406,990.50341796875,579.0,0.7107140206714162,False,339,579,579
Fmn2,138.37277221679688,686.2967529296875,727.0,0.05598796020675722,False,241,727,727
Herc2,134.6751251220703,828.7987670898438,653.0,0.26921710120956166,False,297,653,653
Hmcn1,143.33021545410156,638.51220703125,607.0,0.051914673857084016,False,302,607,607
Hras,140.39805603027344,918.5084228515625,576.0,0.5946326785617404,False,361,576,576
Kmt2c,138.9790802001953,287.13519287109375,360.0,0.20240224202473958,False,114,360,360
Lama2,143.12232971191406,820.5750122070312,484.0,0.6954029177831225,False,319,484,484
Lama5,140.80078125,614.7651977539062,792.0,0.2237813159672901,False,269,768,768
Lrp1b,134.33120727539062,549.1075439453125,494.0,0.11155373268281883,False,240,494,494
Lrp2,147.70362854003906,642.9275512695312,834.0,0.2291036555521208,False,225,768,768
Macf1,139.0380859375,504.56695556640625,423.0,0.1928296821900857,False,207,423,423
Magi2,141.77554321289062,708.1091918945312,975.0,0.2737341621594551,False,304,768,768
Mgam,143.2774200439453,603.29296875,565.0,0.06777516592920355,False,264,565,565
Muc16,137.19570922851562,730.701904296875,471.0,0.5513840855559978,False,275,471,471
Muc2,138.90272521972656,925.8200073242188,1107.0,0.16366756339275632,False,282,768,768
Muc3,140.41598510742188,1055.67041015625,631.0,0.6730117435122821,False,428,631,631
Muc5b,137.39385986328125,674.2437744140625,393.0,0.7156330137762404,False,241,393,393
Myh1,141.47393798828125,1335.708984375,2381.0,0.43901344629357414,False,462,768,768
Myh2,146.36085510253906,472.2125549316406,1098.0,0.5699339208272854,False,211,768,768
Nav3,143.41693115234375,1051.6248779296875,1271.0,0.17260041075555665,False,424,768,768
Neb,144.9336700439453,517.7063598632812,477.0,0.08533828063580975,False,205,477,477
Notch1,133.79856872558594,5804.16064453125,11588.0,0.49912317530796946,False,1787,768,768
Notch2,145.4384765625,1198.68701171875,2319.0,0.4831017629500862,False,421,768,768
Obscn,133.87203979492188,613.1458740234375,752.0,0.1846464441177693,False,249,752,752
P3h2,145.31056213378906,699.2789916992188,714.0,0.020617658684567577,False,315,714,714
Pak7,137.42068481445312,899.287109375,261.0,2.4455444803639845,False,320,261,261
Pcdh11x,140.91586303710938,730.4169311523438,724.0,0.008863164575060428,False,285,724,724
Pcdh15,138.0843505859375,693.6826171875,1117.0,0.3789770660810206,False,254,768,768
Pclo,142.9115447998047,608.9452514648438,405.0,0.5035685221354167,False,294,405,405
Peg3,138.61549377441406,770.437744140625,986.0,0.21862297754500506,False,253,768,768
Pik3cg,133.24717712402344,716.7557373046875,639.0,0.12168346996038733,False,311,639,639
Pkhd1,137.53271484375,674.4342041015625,836.0,0.19326052140961422,False,268,768,768
Pkhd1l1,136.8333282470703,602.4598388671875,792.0,0.23931838526870264,False,221,768,768
Ppfia1,146.9475555419922,535.4981689453125,285.0,0.8789409436677632,False,198,285,285
Prex2,140.5734405517578,738.4484252929688,1057.0,0.3013732967900012,False,279,768,768
Prkdc,135.750244140625,738.9166259765625,525.0,0.40746023995535713,False,261,525,525
Ptprd,136.24818420410156,913.1448364257812,611.0,0.49450873392108224,False,349,611,611
Reln,146.06651306152344,828.797607421875,479.0,0.7302664038034968,False,281,479,479
Ros1,144.2349090576172,919.1437377929688,937.0,0.01905684333727988,False,329,768,768
Rp1,140.4806671142578,631.0494995117188,855.0,0.2619304099278143,False,264,768,768
Runx1t1,139.8892364501953,688.4015502929688,966.0,0.287368995555933,False,289,768,768
Ryr1,143.823486328125,691.80078125,462.0,0.4974042884199134,False,237,462,462
Ryr2,134.0509033203125,679.23583984375,601.0,0.13017610622920134,False,278,601,601
Ryr3,136.6510467529297,1147.4442138671875,900.0,0.2749380154079861,False,418,768,768
Scn9a,141.66395568847656,614.5798950195312,682.0,0.09885645891564333,False,294,682,682
Shank2,137.41810607910156,809.7988891601562,1048.0,0.22729113629756084,False,318,768,768
Sis,146.6210479736328,634.767333984375,421.0,0.5077608883239311,False,271,421,421
Slit2,143.29701232910156,519.029541015625,454.0,0.1432368744837555,False,190,454,454
Spag17,139.32565307617188,632.7899780273438,878.0,0.27928248516247867,False,247,768,768
Sphkap,139.50108337402344,764.8698120117188,1311.0,0.4165752768789331,False,270,768,768
Spta1,137.48226928710938,636.05078125,726.0,0.12389699552341597,False,276,726,726
Tenm1,137.27923583984375,629.94677734375,534.0,0.17967561300327714,False,235,534,534
Thsd7a,135.00637817382812,561.0821533203125,282.0,0.989653025958555,False,197,282,282
Tnni3k,142.02960205078125,575.6475219726562,566.0,0.017045091824481006,False,192,566,566
Tnxb,138.82667541503906,663.2337646484375,1190.0,0.44266070197610297,False,217,768,768
Tpcn2,140.16017150878906,553.9501953125,449.0,0.2337420831013363,False,190,449,449
Trp53,141.7757568359375,1656.6627197265625,2581.0,0.3581314530311652,False,578,768,768
Unc13c,140.8877410888672,648.254150390625,561.0,0.15553324490307488,False,250,561,561
Ush2a,140.05865478515625,554.5948486328125,683.0,0.1880016857499085,False,205,683,683
Vcan,136.76815795898438,1132.8238525390625,1103.0,0.027038850896702177,False,352,768,768
Xirp2,132.96592712402344,853.3784790039062,743.0,0.1485578452273301,False,367,743,743
Zfhx4,140.48208618164062,807.5250244140625,700.0,0.153607177734375,False,300,700,700
Zfp469,128.6984405517578,878.6642456054688,451.0,0.9482577507881791,False,330,451,451
Zfp804b,139.96340942382812,822.7996826171875,707.0,0.16379021586589462,False,302,707,707
Zfp831,135.57424926757812,784.5850219726562,545.0,0.4396055449039564,False,273,545,545
Zmat3,143.0058135986328,1158.8201904296875,511.0,1.267749883424046,False,386,511,511
ctrl,229.38238525390625,9157.2744140625,12981.0,0.2945632529032817,True,4422,768,768
