perturbation_id,time_label,n_cells,pooled_mass,is_control
Notch2,P60,2319,2319.0,False
Nsd1,P4,80,80.0,False
Nsd1,P60,168,168.0,False
Obscn,P4,249,249.0,False
Obscn,P60,752,752.0,False
Oraov1,P4,74,74.0,False
Oraov1,P60,179,179.0,False
P3h2,P4,315,315.0,False
P3h2,P60,714,714.0,False
Pak7,P4,320,320.0,False
Pak7,P60,261,261.0,False
Pappa2,P4,242,242.0,False
Pappa2,P60,652,652.0,False
Pcdh11x,P4,285,285.0,False
Pcdh11x,P60,724,724.0,False
Pcdh15,P4,254,254.0,False
Pcdh15,P60,1117,1117.0,False
Pclo,P4,294,294.0,False
Pclo,P60,405,405.0,False
Peg3,P4,253,253.0,False
Peg3,P60,986,986.0,False
Pik3ca,P4,90,90.0,False
Pik3ca,P60,247,247.0,False
Pik3cg,P4,311,311.0,False
Pik3cg,P60,639,639.0,False
Pkhd1,P4,268,268.0,False
Pkhd1,P60,836,836.0,False
Pkhd1l1,P4,221,221.0,False
Pkhd1l1,P60,792,792.0,False
Plec,P4,136,136.0,False
Plec,P60,240,240.0,False
Ppfia1,P4,198,198.0,False
Ppfia1,P60,285,285.0,False
Prex2,P4,279,279.0,False
Prex2,P60,1057,1057.0,False
Prkdc,P4,261,261.0,False
Prkdc,P60,525,525.0,False
Ptprd,P4,349,349.0,False
Ptprd,P60,611,611.0,False
Reln,P4,281,281.0,False
Reln,P60,479,479.0,False
Ros1,P4,329,329.0,False
Ros1,P60,937,937.0,False
Rp1,P4,264,264.0,False
Rp1,P60,855,855.0,False
Runx1t1,P4,289,289.0,False
Runx1t1,P60,966,966.0,False
Ryr1,P4,237,237.0,False
Ryr1,P60,462,462.0,False
Ryr2,P4,278,278.0,False
Ryr2,P60,601,601.0,False
Ryr3,P4,418,418.0,False
Ryr3,P60,900,900.0,False
Scn9a,P4,294,294.0,False
Scn9a,P60,682,682.0,False
Shank2,P4,318,318.0,False
Shank2,P60,1048,1048.0,False
Sis,P4,271,271.0,False
Sis,P60,421,421.0,False
Slit2,P4,190,190.0,False
Slit2,P60,454,454.0,False
Sox2,P4,267,267.0,False
Sox2,P60,722,722.0,False
Spag17,P4,247,247.0,False
Spag17,P60,878,878.0,False
Sphkap,P4,270,270.0,False
Sphkap,P60,1311,1311.0,False
Spta1,P4,276,276.0,False
Spta1,P60,726,726.0,False
Syne1,P4,156,156.0,False
Syne1,P60,449,449.0,False
Syne2,P4,261,261.0,False
Syne2,P60,399,399.0,False
Tenm1,P4,235,235.0,False
Tenm1,P60,534,534.0,False
Tet1,P4,386,386.0,False
Tet1,P60,646,646.0,False
Thsd7a,P4,197,197.0,False
Thsd7a,P60,282,282.0,False
Tnni3k,P4,192,192.0,False
Tnni3k,P60,566,566.0,False
Tnxb,P4,217,217.0,False
Tnxb,P60,1190,1190.0,False
Tpcn2,P4,190,190.0,False
Tpcn2,P60,449,449.0,False
Trp53,P4,578,578.0,False
Trp53,P60,2581,2581.0,False
Trp63,P4,24,24.0,False
Trp63,P60,20,20.0,False
Ttn,P4,209,209.0,False
Ttn,P60,1114,1114.0,False
Unc13c,P4,250,250.0,False
Unc13c,P60,561,561.0,False
Ush2a,P4,205,205.0,False
Ush2a,P60,683,683.0,False
Vcan,P4,352,352.0,False
Vcan,P60,1103,1103.0,False
