perturbation_id,uot,mass_pred,mass_true,mass_rel_error,is_control,n_init_atoms,n_term_atoms,n_term_atoms_eval
Myh1,484.6035461425781,515.4149169921875,2381.0,0.783530064261996,False,462,512,512
Myh2,451.324951171875,258.6457824707031,1098.0,0.7644391780776839,False,211,512,512
Nav3,445.5246276855469,554.5623168945312,1271.0,0.5636803171561516,False,424,512,512
Neb,468.5357971191406,271.4088439941406,477.0,0.43100871280054376,False,205,477,477
Notch1,451.63739013671875,2910.470458984375,11588.0,0.7488375510023839,False,1787,512,512
Notch2,452.1784973144531,642.0296630859375,2319.0,0.7231437416619502,False,421,512,512
Obscn,445.0478210449219,298.6502380371094,752.0,0.6028587260144822,False,249,512,512
P3h2,476.2448425292969,403.80181884765625,714.0,0.43445123410692404,False,315,512,512
Pak7,454.69976806640625,389.38909912109375,261.0,0.49191225716894155,False,320,261,261
Pcdh11x,455.7391662597656,359.947509765625,724.0,0.5028349312629489,False,285,512,512
Pcdh15,442.6535339355469,358.3336486816406,1117.0,0.6791999564175106,False,254,512,512
Pclo,462.0948181152344,439.6623840332031,405.0,0.08558613341531636,False,294,405,405
Peg3,462.66900634765625,304.3762512207031,986.0,0.6913019764495911,False,253,512,512
Pik3cg,461.74566650390625,429.32916259765625,639.0,0.3281233762165004,False,311,512,512
Pkhd1,430.3479309082031,331.0335998535156,836.0,0.6040267944335938,False,268,512,512
Pkhd1l1,442.9206237792969,288.7769470214844,792.0,0.635382642649641,False,221,512,512
Ppfia1,491.6916809082031,222.7343292236328,285.0,0.21847603781181468,False,198,285,285
Prex2,443.781494140625,364.7947692871094,1057.0,0.6548772286782314,False,279,512,512
Prkdc,426.9207763671875,368.06304931640625,525.0,0.29892752511160714,False,261,512,512
Ptprd,462.1971435546875,457.7734069824219,611.0,0.2507800213053652,False,349,512,512
Reln,443.6932067871094,342.7290954589844,479.0,0.28449040613990734,False,281,479,479
Ros1,460.4161682128906,432.73748779296875,937.0,0.5381670354397345,False,329,512,512
Rp1,456.7122802734375,286.7989501953125,855.0,0.6645626313505117,False,264,512,512
Runx1t1,438.3515319824219,331.1714172363281,966.0,0.6571724459251261,False,289,512,512
Ryr1,479.0247497558594,359.3544616699219,462.0,0.222176489891944,False,237,462,462
Ryr2,444.84722900390625,397.37030029296875,601.0,0.3388181359517991,False,278,512,512
Ryr3,456.2964172363281,447.5240478515625,900.0,0.5027510579427084,False,418,512,512
Scn9a,455.22821044921875,410.3362121582031,682.0,0.39833399976803063,False,294,512,512
Shank2,436.5182189941406,396.42572021484375,1048.0,0.6217311830011033,False,318,512,512
Sis,464.03802490234375,330.81884765625,421.0,0.2142070126929929,False,271,421,421
Slit2,462.7932434082031,285.51129150390625,454.0,0.37112050329536067,False,190,454,454
Spag17,464.84088134765625,383.972900390625,878.0,0.5626732341792426,False,247,512,512
Sphkap,464.99029541015625,384.5420227050781,1311.0,0.7066803793248831,False,270,512,512
Spta1,452.13275146484375,370.7027282714844,726.0,0.4893901814442364,False,276,512,512
Tenm1,443.17498779296875,339.1470031738281,534.0,0.36489325248346793,False,235,512,512
Thsd7a,454.58746337890625,272.0849914550781,282.0,0.035159604769226506,False,197,282,282
Tnni3k,455.5067443847656,255.27532958984375,566.0,0.5489835166257178,False,192,512,512
Tnxb,479.8251647949219,271.1785583496094,1190.0,0.77211885852974,False,217,512,512
Tpcn2,475.5243835449219,264.0675048828125,449.0,0.41187638110732183,False,190,449,449
Trp53,453.5257873535156,925.2079467773438,2581.0,0.641531210082393,False,578,512,512
Unc13c,471.2746887207031,324.96380615234375,561.0,0.4207418785163213,False,250,512,512
Ush2a,484.6566467285156,328.9158935546875,683.0,0.5184247532142203,False,205,512,512
Vcan,462.53948974609375,512.2029418945312,1103.0,0.5356274325525555,False,352,512,512
Xirp2,455.2588806152344,460.09368896484375,743.0,0.38076219520209453,False,367,512,512
Zfhx4,453.3150939941406,445.2566833496094,700.0,0.36391902378627233,False,300,512,512
Zfp469,448.3809814453125,405.24578857421875,451.0,0.10145057965805156,False,330,451,451
Zfp804b,447.3895568847656,335.6686096191406,707.0,0.5252212028017813,False,302,512,512
Zfp831,458.6207275390625,379.1109924316406,545.0,0.30438350012543003,False,273,512,512
Zmat3,453.5687561035156,540.8780517578125,511.0,0.05846976860628669,False,386,511,511
ctrl,453.8217468261719,5833.728515625,12981.0,0.5505948297030275,True,4422,512,512
