epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,step,total_epochs,velo_f_2.0_training,velo_f_2.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation
2,,,9.999999747378752e-05,0.0,,62.84281921386719,,118.82869720458984,,10,2.0,0.1083348616957664,,0.1005051061511039,,0.0922045186161995,,1.086727499961853,,1.0414462089538574,,1.032581448554993,,576.1492919921875,,577.6786499023438,,581.1497802734375,
2,,,9.999999747378752e-05,0.0,,66.79612731933594,,112.1836166381836,,11,2.0,0.1171975508332252,,0.1088557466864585,,0.0999196618795394,,1.0794837474822998,,1.0321457386016846,,1.021148920059204,,571.8945922851562,,573.379638671875,,577.0323486328125,
2,,,9.999999747378752e-05,0.0,,69.43711853027344,,116.57064819335938,,12,2.0,0.1258614808320999,,0.1173169761896133,,0.1078853234648704,,1.0627174377441406,,1.0069972276687622,,0.9937583804130554,,567.185791015625,,568.1063842773438,,571.8970947265625,
2,,,9.999999747378752e-05,0.0,,56.97072982788086,,112.1501007080078,,13,2.0,0.1341249942779541,,0.1246686577796936,,0.1149906441569328,,1.019618034362793,,0.9667524099349976,,0.9548972845077516,,560.9581909179688,,562.1849365234375,,566.2391967773438,
2,,,9.999999747378752e-05,0.0,,69.1274642944336,,128.98377990722656,,14,2.0,0.1430125087499618,,0.1342615336179733,,0.1241886392235755,,1.0272245407104492,,0.9553238749504088,,0.9377384781837464,,557.3272094726562,,556.7050170898438,,560.5368041992188,
2,,246.74755859375,9.999999747378752e-05,,0.0,,99.45005798339844,,147.29750061035156,14,2.0,,0.1499655246734619,,0.1425940841436386,,0.1323509812355041,,0.9631586074829102,,0.8916600346565247,,0.8671359419822693,,549.5733642578125,,547.5975341796875,,551.0145874023438
2,182.77821350097656,,,,,,,,,14,,,,,,,,,,,,,,,,,,,
3,,,9.999999747378752e-05,0.0,,72.09889221191406,,125.29133605957033,,15,3.0,0.1510446667671203,,0.1425511538982391,,0.1318902373313903,,1.0168118476867676,,0.9496887922286988,,0.9347670674324036,,552.9329223632812,,552.2015380859375,,556.4436645507812,
3,,,9.999999747378752e-05,0.0,,64.03005981445312,,120.83284759521484,,16,3.0,0.1590398997068405,,0.1506638526916504,,0.1405739188194275,,0.980679214000702,,0.908088445663452,,0.9037338495254515,,546.5433349609375,,544.7962036132812,,549.6455688476562,
3,,,9.999999747378752e-05,0.0,,65.34801483154297,,121.00376892089844,,17,3.0,0.1669190376996994,,0.1596591919660568,,0.149356260895729,,0.9700462818145752,,0.8934145569801331,,0.8820890188217163,,541.9242553710938,,538.8402709960938,,543.2064819335938,
3,,,9.999999747378752e-05,0.0,,62.503047943115234,,122.34657287597656,,18,3.0,0.1748837679624557,,0.1685661673545837,,0.1583806276321411,,0.9606225490570068,,0.8807451128959656,,0.8673450946807861,,537.2880249023438,,532.9677734375,,537.0325317382812,
3,,,9.999999747378752e-05,0.0,,70.9623794555664,,125.22229766845705,,19,3.0,0.1816654056310653,,0.1774758994579315,,0.1684274077415466,,0.9644960165023804,,0.8679124116897583,,0.8609452843666077,,534.3713989257812,,526.9384765625,,531.01171875,
3,,190.4449157714844,9.999999747378752e-05,,0.0,,65.01588439941406,,125.42903900146484,19,3.0,,0.189565822482109,,0.1855093538761139,,0.1753953397274017,,0.8347960114479065,,0.7459307312965393,,0.7283176779747009,,516.6163940429688,,506.8373718261719,,510.3882751464844
3,189.9278259277344,,,,,,,,,19,,,,,,,,,,,,,,,,,,,
4,,,9.999999747378752e-05,0.0,,68.89128875732422,,127.9167251586914,,20,4.0,0.1899647563695907,,0.1872576922178268,,0.1770749539136886,,0.9554589986801147,,0.8585047721862793,,0.8483099937438965,,529.5427856445312,,520.697265625,,524.9879150390625,
4,,,9.999999747378752e-05,0.0,,65.81124114990234,,121.36869049072266,,21,4.0,0.1975709646940231,,0.1959748268127441,,0.18616783618927,,0.9264638423919678,,0.8265399932861328,,0.8168654441833496,,522.9212646484375,,512.0704345703125,,516.2415771484375,
4,,,9.999999747378752e-05,0.0,,70.42979431152344,,130.696533203125,,22,4.0,0.2050375193357467,,0.2044010609388351,,0.1958832442760467,,0.921367645263672,,0.8193984031677246,,0.8075276613235474,,518.6842041015625,,506.4963684082031,,509.5982971191406,
4,,,9.999999747378752e-05,0.0,,69.68681335449219,,130.28826904296875,,23,4.0,0.212529256939888,,0.2149257957935333,,0.2054906636476516,,0.913996696472168,,0.8069154024124146,,0.7935973405838013,,514.1432495117188,,498.9171142578125,,502.2369384765625,
4,,,9.999999747378752e-05,0.0,,96.25164794921876,,148.14610290527344,,24,4.0,0.2189650982618332,,0.2236115932464599,,0.2159249037504196,,0.9459874629974364,,0.8407236337661743,,0.8230298161506653,,514.6240844726562,,499.086669921875,,500.70611572265625,
4,,216.58074951171875,9.999999747378752e-05,,0.0,,80.37303924560547,,136.2077178955078,24,4.0,,0.2248876541852951,,0.2324401140213012,,0.2241462767124176,,0.8329418301582336,,0.7223223447799683,,0.700751781463623,,497.2934875488281,,474.4574890136719,,475.2986450195313
4,205.8974151611328,,,,,,,,,24,,,,,,,,,,,,,,,,,,,
5,,,9.999999747378752e-05,0.0,,68.71905517578125,,136.11643981933594,,25,5.0,0.2271119207143783,,0.2325821369886398,,0.2258178442716598,,0.9005199074745178,,0.787856936454773,,0.7775223255157471,,505.2600708007813,,486.1104431152344,,488.2187805175781,
5,,,9.999999747378752e-05,0.0,,65.97416687011719,,127.16706085205078,,26,5.0,0.2330330461263656,,0.2422824203968048,,0.2357678860425949,,0.8688235282897949,,0.7567328214645386,,0.7520022392272949,,498.0856018066406,,475.1663208007813,,478.06939697265625,
5,,,9.999999747378752e-05,0.0,,72.18292236328125,,142.49240112304688,,27,5.0,0.2403014153242111,,0.251323938369751,,0.2458056956529617,,0.8698773384094238,,0.7581186294555664,,0.7497541904449463,,494.5075073242188,,470.23486328125,,471.82427978515625,
5,,,9.999999747378752e-05,0.0,,70.89781188964844,,136.46307373046875,,28,5.0,0.2475422173738479,,0.2607245147228241,,0.2564725577831268,,0.8566207885742188,,0.742369532585144,,0.7326908111572266,,488.863037109375,,461.7316284179688,,462.23187255859375,
5,,,9.999999747378752e-05,0.0,,83.111572265625,,158.00408935546875,,29,5.0,0.2529749572277069,,0.2707954347133636,,0.2670287787914276,,0.8831422924995422,,0.7665612101554871,,0.7477911710739136,,489.9809265136719,,460.8492431640625,,459.2063293457031,
5,,222.18670654296875,9.999999747378752e-05,,0.0,,68.09098052978516,,154.09573364257812,29,5.0,,0.2585663795471191,,0.2793059349060058,,0.2758718729019165,,0.7758629322052002,,0.6638867259025574,,0.6467461585998535,,469.4749450683594,,432.3433837890625,,429.9180603027344
5,212.2257080078125,,,,,,,,,29,,,,,,,,,,,,,,,,,,,
6,,,9.999999747378752e-05,0.0,,84.1836166381836,,158.231201171875,,30,6.0,0.2607455849647522,,0.2796938121318817,,0.2771002948284149,,0.8617162704467773,,0.7472345232963562,,0.7386205792427063,,482.8616638183594,,451.8578186035156,,451.4948425292969,
6,,,9.999999747378752e-05,0.0,,65.09335327148438,,142.5587158203125,,31,6.0,0.2686842679977417,,0.289703369140625,,0.2868039608001709,,0.8267187476158142,,0.7133344411849976,,0.7099746465682983,,473.0621948242188,,438.4310302734375,,439.3368835449219,
6,,,9.999999747378752e-05,0.0,,79.40274047851562,,157.73135375976562,,32,6.0,0.2740688920021057,,0.2987352311611175,,0.2980988621711731,,0.8507944345474243,,0.7306531667709351,,0.7214634418487549,,474.310546875,,437.2864685058594,,435.4791259765625,
6,,,9.999999747378752e-05,0.0,,73.69271850585938,,151.81112670898438,,33,6.0,0.2812354862689972,,0.3090403378009796,,0.3079555630683899,,0.822176992893219,,0.7023123502731323,,0.6986863613128662,,465.6696166992188,,424.3466491699219,,424.04541015625,
6,,,9.999999747378752e-05,0.0,,74.45563507080078,,165.02835083007812,,34,6.0,0.2888859510421753,,0.3191833198070526,,0.3187480866909027,,0.8346957564353943,,0.7021275162696838,,0.6934147477149963,,463.9296875,,418.3683471679688,,416.2910461425781,
6,,253.6685028076172,9.999999747378752e-05,,0.0,,84.50712585449219,,169.161376953125,34,6.0,,0.2966933250427246,,0.3264604806900024,,0.3271009027957916,,0.7378032803535461,,0.6317260265350342,,0.6190420389175415,,440.1055908203125,,393.3179931640625,,388.7212524414063
6,230.43777465820312,,,,,,,,,34,,,,,,,,,,,,,,,,,,,
