perturbation_id,uot,mass_pred,mass_true,mass_rel_error,is_control,n_init_atoms,n_term_atoms,n_term_atoms_eval
Lama2,530.4427490234375,557.52978515625,484.0,0.15192104371126033,False,319,484,128
Lama5,546.335205078125,380.131591796875,792.0,0.5200358689433396,False,269,792,128
Lrp1b,498.88507080078125,304.115966796875,494.0,0.3843806340144231,False,240,494,128
Lrp2,512.719482421875,254.86557006835938,834.0,0.6944057912849408,False,225,834,128
Macf1,545.1622924804688,286.4519348144531,423.0,0.3228086647412456,False,207,423,128
Magi2,492.2890625,390.9569396972656,975.0,0.5990185233874199,False,304,975,128
Mgam,491.8565979003906,310.830078125,565.0,0.4498582688053097,False,264,565,128
Muc16,500.2791748046875,362.1587829589844,471.0,0.2310853864989716,False,275,471,128
Muc2,472.0773010253906,347.0984191894531,1107.0,0.6864512925117858,False,282,1107,128
Muc3,531.6099853515625,569.8016357421875,631.0,0.09698631419621632,False,428,631,128
Muc5b,534.4408569335938,323.7282409667969,393.0,0.17626401789619114,False,241,393,128
Myh1,583.9744262695312,507.6390380859375,2381.0,0.7867958680865446,False,462,2381,128
Myh2,498.4767761230469,253.32174682617188,1098.0,0.769288026569971,False,211,1098,128
Nav3,490.5625,555.3228149414062,1271.0,0.5630819709351642,False,424,1271,128
Neb,524.8690185546875,274.71392822265625,477.0,0.4240798150468422,False,205,477,128
Notch1,512.2549438476562,2964.707275390625,11588.0,0.744157121557592,False,1787,11588,128
Notch2,512.1954345703125,635.9949340820312,2319.0,0.725746039636899,False,421,2319,128
Obscn,491.2377014160156,292.5260314941406,752.0,0.6110026176939619,False,249,752,128
P3h2,563.319580078125,385.7644348144531,714.0,0.4597136767304578,False,315,714,128
Pak7,493.90362548828125,387.1461486816406,261.0,0.48331857732429356,False,320,261,128
Pcdh11x,513.4657592773438,356.4007263183594,724.0,0.5077338034276804,False,285,724,128
Pcdh15,489.7430725097656,349.1002502441406,1117.0,0.6874662038996056,False,254,1117,128
Pclo,538.107666015625,445.12933349609375,405.0,0.09908477406442902,False,294,405,128
Peg3,510.288330078125,326.0921325683594,986.0,0.6692777560158627,False,253,986,128
Pik3cg,526.599365234375,424.2235412597656,639.0,0.3361133939596782,False,311,639,128
Pkhd1,482.34918212890625,345.7742614746094,836.0,0.5863944240734338,False,268,836,128
Pkhd1l1,484.1676025390625,280.4818115234375,792.0,0.6458562985815183,False,221,792,128
Ppfia1,558.23193359375,227.0269775390625,285.0,0.20341411389802633,False,198,285,128
Prex2,502.4722595214844,370.9591369628906,1057.0,0.6490452819650987,False,279,1057,128
Prkdc,495.11907958984375,368.7746887207031,525.0,0.297572021484375,False,261,525,128
Ptprd,495.93389892578125,450.47259521484375,611.0,0.26272897673511664,False,349,611,128
Reln,479.13018798828125,353.46502685546875,479.0,0.2620771881931759,False,281,479,128
Ros1,540.8200073242188,451.99700927734375,937.0,0.5176125834820238,False,329,937,128
Rp1,516.7239379882812,296.91693115234375,855.0,0.6527287354943347,False,264,855,128
Runx1t1,542.901611328125,332.5379943847656,966.0,0.6557577697880274,False,289,966,128
Ryr1,519.0726928710938,363.7107849121094,462.0,0.21274721880495806,False,237,462,128
Ryr2,513.3280029296875,409.8565368652344,601.0,0.31804236794470153,False,278,601,128
Ryr3,505.7980651855469,431.186279296875,900.0,0.5209041341145834,False,418,900,128
Scn9a,507.2337341308594,394.6351013183594,682.0,0.421356156424693,False,294,682,128
Shank2,519.1632690429688,388.9368896484375,1048.0,0.628877013694239,False,318,1048,128
Sis,530.5745849609375,326.3515930175781,421.0,0.22481806884185718,False,271,421,128
Slit2,565.78955078125,282.79571533203125,454.0,0.37710194860786067,False,190,454,128
Spag17,523.6094360351562,383.6226501464844,878.0,0.5630721524527513,False,247,878,128
Sphkap,543.5222778320312,375.3809509277344,1311.0,0.713668229650851,False,270,1311,128
Spta1,523.5714721679688,369.7489013671875,726.0,0.49070399260717973,False,276,726,128
Tenm1,504.7181091308594,355.017333984375,534.0,0.3351735318644663,False,235,534,128
Thsd7a,517.328369140625,264.67144775390625,282.0,0.06144876683011968,False,197,282,128
Tnni3k,533.956787109375,258.9399719238281,566.0,0.5425088835268055,False,192,566,128
Tnxb,577.9393310546875,257.10003662109375,1190.0,0.7839495490579044,False,217,1190,128
Tpcn2,582.0469360351562,264.78759765625,449.0,0.41027261101057905,False,190,449,128
Trp53,529.1538696289062,934.247802734375,2581.0,0.6380287474876501,False,578,2581,128
Unc13c,519.9732666015625,325.49310302734375,561.0,0.41979839032559046,False,250,561,128
Ush2a,532.4584350585938,326.2336730957031,683.0,0.5223518695524112,False,205,683,128
Vcan,500.2917175292969,538.4110717773438,1103.0,0.5118666620332333,False,352,1103,128
Xirp2,522.2802734375,468.03289794921875,743.0,0.37007685336578905,False,367,743,128
Zfhx4,502.4026794433594,453.775390625,700.0,0.3517494419642857,False,300,700,128
Zfp469,529.9968872070312,392.47174072265625,451.0,0.1297744108145094,False,330,451,128
Zfp804b,493.80194091796875,343.4259948730469,707.0,0.514248946431334,False,302,707,128
Zfp831,572.4649047851562,365.8944091796875,545.0,0.32863411159690364,False,273,545,128
Zmat3,506.1406555175781,545.7136840820312,511.0,0.067932845561705,False,386,511,128
ctrl,527.43505859375,5657.07470703125,12981.0,0.5642034737669478,True,4422,12981,128
